nomes;idade;cidade;estado;cpf;cnpj;cpfStatus;cnpjStatus
Linda Vargas MD;62;ABADIADOSDOURADOS;MG;66562524512;22415824790549;True;True
Brianna Francis;82;GUACLARA;MS;70450747000;64010620614680;True;True
Deborah Hill;33;ACORIZAL;MT;78461044894;12817923842072;True;True
Lindsey Koch;72;ABAETETUBA;PA;81900740834;31706819238930;True;True
Charles Yates;71;GUABRANCA;PB;65586683784;78616996600779;True;True
Matthew Martinez;85;ABREUELIMA;PE;43986854304;21120314419212;True;True
Victor Bradley;77;ACAU;PI;94252857058;47357837297302;True;True
Joshua Carr;25;ABATI;PR;23939707112;05835122020570;True;True
Evan Cochran;68;ANGRADOSREIS;RJ;70166695564;77938477219769;True;True
John Cline;62;ACARI;RN;48406074604;77536642656200;True;True
Sarah Ellis;20;ALTAFLORESTADOESTE;RO;11565659791;27017130239145;True;True
Amy Burnett;20;AMAJARI;RR;05461868665;78896522190996;True;True
Donald Edwards;48;ACEGU;RS;96525798582;74381216820226;True;True
Michael Smith;30;ABDONBATISTA;SC;98860416680;13228968233809;True;True
Jordan Green;32;AMPARODESOFRANCISCO;SE;74265673627;93322502277502;True;True
Jennifer Perez;18;ADAMANTINA;SP;59999876447;67315158075059;True;True
Kimberly Berry;50;ABREULNDIA;TO;86157181648;67528221852023;True;True
Micheal Rhodes;64;ACRELNDIA;AC;01027123015;01567761068587;True;True
Maria Holt;23;GUABRANCA;AL;44011869902;76858860759935;True;True
Sara Lopez;87;ALVARES;AM;08215363628;06841435616413;True;True
Max Velasquez;21;SERRADONAVIO;AP;82095280172;94975675983705;True;True
Dawn Mcdonald;81;ABARA;BA;05938215994;20546307325236;True;True
Brittany Brown;53;ABAIARA;CE;31627419713;55228737706506;True;True
Patricia Meyer MD;31;Braslia;DF;43243581338;68879919276985;True;True
David Ray;37;AFONSOCLUDIO;ES;29800343555;73864442851427;True;True
Anthony Gross;39;ABADIADEGOIS;GO;96562118476;46241882129385;True;True
Brittany Valencia;67;AAILNDIA;MA;28914778045;10142766881853;True;True
Logan Powell;60;ABADIADOSDOURADOS;MG;79208533204;80572131619808;True;True
Andrew Mckinney;44;GUACLARA;MS;12452990698;05750437593809;True;True
Leroy Murphy;70;ACORIZAL;MT;33613085690;14759051804990;True;True
Kevin Burton;58;ABAETETUBA;PA;98943583656;90281213128519;True;True
Gregory Hayes;58;GUABRANCA;PB;17490517290;31171027002548;True;True
Jose Campbell;53;ABREUELIMA;PE;18078365330;80533226507844;True;True
Jeremy Decker;28;ACAU;PI;15095314240;44638202708603;True;True
Jenny Perez;75;ABATI;PR;57306797425;05479656870807;True;True
Billy Rodriguez;85;ANGRADOSREIS;RJ;15845046254;45458605325033;True;True
Aaron Hamilton;73;ACARI;RN;10688335993;96004515083166;True;True
Kathryn Bullock;51;ALTAFLORESTADOESTE;RO;43297123931;94922644081407;True;True
Rebecca Rowe;51;AMAJARI;RR;49114313421;10272842504030;True;True
Kenneth Elliott;66;ACEGU;RS;30165654554;94604763578359;True;True
David Hughes;63;ABDONBATISTA;SC;52734128381;58501967514246;True;True
Jason Rose;49;AMPARODESOFRANCISCO;SE;79161800570;81720719081859;True;True
Donald Paul;50;ADAMANTINA;SP;37156750399;43457897571340;True;True
Dawn Smith;26;ABREULNDIA;TO;99591451237;87072454946483;True;True
Peter Munoz;49;ACRELNDIA;AC;53949179224;12276654408988;True;True
Mrs. Yesenia Barrett;88;GUABRANCA;AL;74610210525;50800865697977;True;True
Paul Thomas;88;ALVARES;AM;23560148880;69485546986030;True;True
Dr. Jennifer Williams;36;SERRADONAVIO;AP;44331026108;48607469045482;True;True
Darlene Wagner;69;ABARA;BA;59392936893;11025510922525;True;True
Hannah Snyder;40;ABAIARA;CE;53907880102;13540261869460;True;True
Christopher Young;38;Braslia;DF;24594975984;71848458367870;True;True
Tracy Dixon;25;AFONSOCLUDIO;ES;27102355440;39877727099541;True;True
Kathy Le;87;ABADIADEGOIS;GO;29372127515;76533194657615;True;True
Keith Luna;68;AAILNDIA;MA;80907706819;27585581694200;True;True
Shannon Sweeney;77;ABADIADOSDOURADOS;MG;64159559697;97541235412315;True;True
Elizabeth Bell;59;GUACLARA;MS;86267356345;66053445574233;True;True
Heidi Bradley;25;ACORIZAL;MT;56729505400;18466160426096;True;True
Terry Reed;61;ABAETETUBA;PA;51608865401;27132745372467;True;True
Diane Hernandez;41;GUABRANCA;PB;48111470576;40787478716700;True;True
Rachel Warren;33;ABREUELIMA;PE;23376857210;29002233200112;True;True
Maria Williams;42;ACAU;PI;01992242186;41141212436110;True;True
Anne Miller;77;ABATI;PR;17120157701;77621947090119;True;True
Jennifer Lewis;22;ANGRADOSREIS;RJ;78325186267;43532550380560;True;True
Michael Wright;43;ACARI;RN;30197762875;14820218734400;True;True
Brianna Robertson;53;ALTAFLORESTADOESTE;RO;89303268970;16406257442520;True;True
Melanie Robles;21;AMAJARI;RR;73948798010;95310373128058;True;True
Angela Williams;73;ACEGU;RS;20273841890;30637559535113;True;True
Derek Young;21;ABDONBATISTA;SC;65502725219;66113865011107;True;True
Blake Cunningham;45;AMPARODESOFRANCISCO;SE;26809028587;61408220409971;True;True
Kelly Adams;44;ADAMANTINA;SP;86807627092;28686902548318;True;True
Deborah Thomas;69;ABREULNDIA;TO;84534791607;37602155361550;True;True
Crystal Trevino;66;ACRELNDIA;AC;09108571996;28098660785980;True;True
Denise West;44;GUABRANCA;AL;82636980148;20396929563240;True;True
Connie King;65;ALVARES;AM;88810344413;62060107406561;True;True
Andrew Alvarez;90;SERRADONAVIO;AP;20842441964;92817873519520;True;True
Michael Lewis;73;ABARA;BA;00891731806;76409412012409;True;True
Sonia Alvarado;42;ABAIARA;CE;21276936478;93726855515266;True;True
Elizabeth Miller;79;Braslia;DF;72350990036;41178451869687;True;True
Marc Cook;72;AFONSOCLUDIO;ES;44359336403;31571856880272;True;True
Patricia Mendoza;51;ABADIADEGOIS;GO;62029146889;20732732058505;True;True
Michael Garcia;23;AAILNDIA;MA;64633032240;41439568362343;True;True
Mr. Jesse Fletcher;21;ABADIADOSDOURADOS;MG;81282149008;48249914729001;True;True
Kyle Mora;63;GUACLARA;MS;00614722047;29653942966322;True;True
Leah Garcia;44;ACORIZAL;MT;16103865077;36497348564044;True;True
Anna Harrison;73;ABAETETUBA;PA;78361187898;86839992732692;True;True
Alexander Hodges;89;GUABRANCA;PB;99647012764;95097510088121;True;True
Anita Hernandez;30;ABREUELIMA;PE;77322953584;10132381555681;True;True
Elizabeth Sims;88;ACAU;PI;87840476740;29335557552958;True;True
David Clark;80;ABATI;PR;83791685422;51219853830691;True;True
Nicole Lewis;87;ANGRADOSREIS;RJ;16921102840;17303237697749;True;True
Angela Zamora;30;ACARI;RN;07417379907;38400146863308;True;True
David Flores;28;ALTAFLORESTADOESTE;RO;96029631900;16724741990112;True;True
Kent Andrews;35;AMAJARI;RR;70884125513;97138536375774;True;True
Patricia Martinez;24;ACEGU;RS;96758923827;96521677622226;True;True
Meghan Morrison;42;ABDONBATISTA;SC;47591143786;14217451447844;True;True
Annette Herrera;43;AMPARODESOFRANCISCO;SE;92247570062;96306007257904;True;True
Barbara Leon MD;73;ADAMANTINA;SP;05086323231;98992168836002;True;True
Justin Andersen;30;ABREULNDIA;TO;34245687088;26866823178760;True;True
Wesley Lee;28;ACRELNDIA;AC;79111554452;34205707583747;True;True
Jonathan Anderson;62;GUABRANCA;AL;14567033906;25564852664057;True;True
Kathy Bowman;82;ALVARES;AM;22382453672;38323943041584;True;True
Leah King;82;SERRADONAVIO;AP;57425502518;10007906232807;True;True
Nicholas Johnson;70;ABARA;BA;18410328674;32981852682342;True;True
Matthew Fields;77;ABAIARA;CE;82777457883;50160746531098;True;True
Thomas Smith;63;Braslia;DF;16023528449;92512736753777;True;True
Sara James;40;AFONSOCLUDIO;ES;65550822598;35281439947766;True;True
Keith Robinson;80;ABADIADEGOIS;GO;39214566143;66501166914304;True;True
Andrew Wood;86;AAILNDIA;MA;43987115629;32050721294848;True;True
Gordon Stephens;30;ABADIADOSDOURADOS;MG;82547425610;36913960886848;True;True
Amy Davis;62;GUACLARA;MS;29745132470;64947184518795;True;True
Kristin Mcdaniel;79;ACORIZAL;MT;82761811208;64709072009818;True;True
Julie Thompson;57;ABAETETUBA;PA;53030519783;67505872613516;True;True
Steven Ramos;66;GUABRANCA;PB;36310656473;80984026508456;True;True
Allison Mueller;29;ABREUELIMA;PE;28020391134;58190936196414;True;True
Donna Zimmerman;56;ACAU;PI;15689286885;95164540498786;True;True
Kayla Curtis;78;ABATI;PR;82852548011;95366516900234;True;True
Gary Pineda;42;ANGRADOSREIS;RJ;12458789722;38287874622145;True;True
Lisa Baxter;24;ACARI;RN;68379697650;65357433374222;True;True
Michelle Wilson;27;ALTAFLORESTADOESTE;RO;27377207027;33963172192000;True;True
Pamela Black;55;AMAJARI;RR;54283791466;08157026681165;True;True
Michael Boyd;41;ACEGU;RS;31063350093;27199674682605;True;True
Carolyn Taylor;62;ABDONBATISTA;SC;54042845525;89986256634645;True;True
Nathan Floyd;76;AMPARODESOFRANCISCO;SE;11772208140;92625646258864;True;True
Stephen Torres;48;ADAMANTINA;SP;92254599470;51006075009924;True;True
Emily Wilson;86;ABREULNDIA;TO;57057488769;96720214047760;True;True
Amanda Hobbs;80;ACRELNDIA;AC;05055277580;54492254062557;True;True
Randy Bailey;32;GUABRANCA;AL;53066383415;40303858573425;True;True
Heather Mccarthy;42;ALVARES;AM;61865290700;86838303214241;True;True
William Davis;82;SERRADONAVIO;AP;28870789330;03081296955933;True;True
Devin Morris;38;ABARA;BA;19435641679;76472727172260;True;True
Jenna White;32;ABAIARA;CE;72407555252;40260403080600;True;True
Kimberly Sherman;77;Braslia;DF;73212451955;02500244436617;True;True
David Mitchell;36;AFONSOCLUDIO;ES;72992871702;02121349200971;True;True
Victoria Sweeney;30;ABADIADEGOIS;GO;75146548013;75527460849622;True;True
Patrick Johnson;72;AAILNDIA;MA;75069665227;80060366416537;True;True
Kevin Miller;33;ABADIADOSDOURADOS;MG;27921075533;87627534085606;True;True
Lauren Morrison;76;GUACLARA;MS;25053233136;33874640779675;True;True
Bridget Jones;37;ACORIZAL;MT;52210218977;69774398704001;True;True
Joseph Rios;63;ABAETETUBA;PA;73693717605;84169834445400;True;True
Julie Walls;49;GUABRANCA;PB;28426029353;17121235479235;True;True
John Martinez;55;ABREUELIMA;PE;24865138099;38279342891493;True;True
David Martinez;25;ACAU;PI;60533839378;84780241685002;True;True
Seth Shea;87;ABATI;PR;08800362907;49405163953922;True;True
Jaclyn Daniels;57;ANGRADOSREIS;RJ;67643003050;46293293704892;True;True
Darrell Smith;80;ACARI;RN;99103515524;25226377457801;True;True
Joseph Williams;23;ALTAFLORESTADOESTE;RO;67827753604;89386233730232;True;True
Michelle Schmidt;40;AMAJARI;RR;02584310759;31364364069621;True;True
Christopher Crane;63;ACEGU;RS;53198067014;14409710614409;True;True
Melody Arnold;28;ABDONBATISTA;SC;99587407024;70289857870560;True;True
Frank Miller;35;AMPARODESOFRANCISCO;SE;21086642708;05601484952360;True;True
Kelli Poole;22;ADAMANTINA;SP;34228364209;97538603622850;True;True
Brian Grant;40;ABREULNDIA;TO;25926134390;89905193753905;True;True
Alan Juarez;81;ACRELNDIA;AC;24323027451;06116849575430;True;True
Jennifer Herrera;44;GUABRANCA;AL;05944330538;44338019631100;True;True
Michael Anderson;47;ALVARES;AM;25816374206;04705908871616;True;True
Mr. Derrick Walker III;67;SERRADONAVIO;AP;86709815722;72983983233406;True;True
Lisa Adams;56;ABARA;BA;17102683367;07752430833070;True;True
Phyllis Davis;81;ABAIARA;CE;10941674363;25441970136802;True;True
Kimberly Gaines;26;Braslia;DF;58990464145;51208722841996;True;True
Erika White;39;AFONSOCLUDIO;ES;86455095987;50531473539297;True;True
Stephanie Petersen;32;ABADIADEGOIS;GO;20318573202;32598177031430;True;True
Timothy Thomas;57;AAILNDIA;MA;22135657409;83845376709590;True;True
Travis Griffin;23;ABADIADOSDOURADOS;MG;19965886725;92969475277410;True;True
John Robinson;31;GUACLARA;MS;80671201379;08547368162755;True;True
Emily Smith;79;ACORIZAL;MT;31530403626;30097397584110;True;True
Tyler Fernandez;26;ABAETETUBA;PA;66089333204;85336615215932;True;True
Steven Martinez;37;GUABRANCA;PB;75262527701;99235616826457;True;True
Meghan Coffey;63;ABREUELIMA;PE;66635918191;47268825370408;True;True
John Holmes;85;ACAU;PI;07291253276;25881963791528;True;True
Jordan Brock;61;ABATI;PR;29341177405;04081082954281;True;True
Stephanie Mendez;66;ANGRADOSREIS;RJ;04752838800;82804534288805;True;True
Adrian Bryant;33;ACARI;RN;01562495020;97740191451412;True;True
Jose Burton;65;ALTAFLORESTADOESTE;RO;59565808875;35151610774001;True;True
Christopher Knight;76;AMAJARI;RR;85213801277;70860699845790;True;True
Tiffany Carrillo;61;ACEGU;RS;47122359344;67964379096560;True;True
John Mcdonald;44;ABDONBATISTA;SC;26459873704;41080118373937;True;True
Dalton Pierce;32;AMPARODESOFRANCISCO;SE;77939530534;49747484805124;True;True
Michael Castillo;89;ADAMANTINA;SP;11161836179;76065114066603;True;True
Amanda Barnett;37;ABREULNDIA;TO;29594053828;98967609682620;True;True
Jeffrey King;90;ACRELNDIA;AC;50066235944;15245381240961;True;True
Alex Murphy;34;GUABRANCA;AL;83064446398;19340044456087;True;True
Ryan Greene;82;ALVARES;AM;88527388600;20318973896125;True;True
Jennifer Bridges;26;SERRADONAVIO;AP;53239536242;53269139784690;True;True
Gregory Hughes;26;ABARA;BA;99036807670;88470340152903;True;True
John Marshall;60;ABAIARA;CE;98671530817;13776589478708;True;True
Carol Perkins;24;Braslia;DF;34498482166;69068120112863;True;True
Julie Delgado;81;AFONSOCLUDIO;ES;62640338471;90383600838857;True;True
Hannah Hines;32;ABADIADEGOIS;GO;20925286702;56685168062758;True;True
Joseph Gray;30;AAILNDIA;MA;45049201152;83634083265908;True;True
Christopher Harper;75;ABADIADOSDOURADOS;MG;96242416190;53504090391121;True;True
Jason Williams;45;GUACLARA;MS;01081434490;25372710988314;True;True
Michael Taylor;52;ACORIZAL;MT;20428558984;23175643888440;True;True
Ashley Edwards;89;ABAETETUBA;PA;98621300753;45128781305324;True;True
Stacey Harris;64;GUABRANCA;PB;67999957410;86389884893405;True;True
Mary Mendez;37;ABREUELIMA;PE;83291155939;86650022725516;True;True
Lynn Hancock MD;44;ACAU;PI;48776888118;96434425424972;True;True
David Stevens;89;ABATI;PR;62636269177;84064557299700;True;True
Anthony Jones;49;ANGRADOSREIS;RJ;34492787119;42082003216920;True;True
Kelly Pena;59;ACARI;RN;08890379650;23232921240305;True;True
Michelle Bennett;51;ALTAFLORESTADOESTE;RO;50310567467;43603711768029;True;True
James Li;40;AMAJARI;RR;04812150426;93917858098821;True;True
Michael Thomas;87;ACEGU;RS;24543065654;07723578866503;True;True
Bethany Diaz;27;ABDONBATISTA;SC;62099648506;00003495644263;True;True
Anthony Howard;57;AMPARODESOFRANCISCO;SE;83669510656;64352959508474;True;True
Carlos Payne;61;ADAMANTINA;SP;35122289093;13257452253494;True;True
Craig Walker;71;ABREULNDIA;TO;74257783192;20137525954931;True;True
Kyle Williams;81;ACRELNDIA;AC;91581794886;53415639743407;True;True
Roy Townsend;48;GUABRANCA;AL;08507983375;76387898355108;True;True
Joseph Elliott;37;ALVARES;AM;99115506134;67475348317819;True;True
Joseph Ho;28;SERRADONAVIO;AP;49329225829;16966018967679;True;True
Darrell Sexton;51;ABARA;BA;15368324219;61946809829469;True;True
Joseph Turner;87;ABAIARA;CE;30858177358;66737056871787;True;True
Heather Thomas;64;Braslia;DF;98851634769;68313717263993;True;True
Dawn Jones;21;AFONSOCLUDIO;ES;91183244100;87742757986093;True;True
Manuel Frank;69;ABADIADEGOIS;GO;13163936237;48469721905808;True;True
Paul Brennan;47;AAILNDIA;MA;29019278231;37793898062990;True;True
Erin Obrien;18;ABADIADOSDOURADOS;MG;56139719860;04451999609124;True;True
Peter Jackson;74;GUACLARA;MS;10433110090;57978318055141;True;True
Susan Silva;61;ACORIZAL;MT;02242021460;41574152054277;True;True
Madeline Hill;28;ABAETETUBA;PA;76762652824;87230981043380;True;True
Mr. Charles Schwartz;47;GUABRANCA;PB;01473369290;78060778010570;True;True
Melissa Petersen;90;ABREUELIMA;PE;92665808641;23803319894828;True;True
Kathryn Fowler;39;ACAU;PI;17694391294;34971771669889;True;True
Shane Villa;59;ABATI;PR;79415329998;51204149855650;True;True
Heather Mosley;84;ANGRADOSREIS;RJ;73696720852;92484077361979;True;True
Michael Benson;20;ACARI;RN;56297605300;95009048358993;True;True
Joel Kelly;73;ALTAFLORESTADOESTE;RO;75297450500;70150966108048;True;True
Miss Christine Allen DVM;31;AMAJARI;RR;63331267805;37874234002111;True;True
Jose Jenkins;73;ACEGU;RS;66424092307;95869381658771;True;True
David Gill;81;ABDONBATISTA;SC;65601866953;16777448762676;True;True
Aaron Franco;33;AMPARODESOFRANCISCO;SE;64379535517;52729900630864;True;True
Allen Powell;90;ADAMANTINA;SP;28146746330;75062174631412;True;True
Amber Taylor;41;ABREULNDIA;TO;10401840492;27510140066930;True;True
Vanessa Haynes;32;ACRELNDIA;AC;75791090854;64644828102910;True;True
Darren Davis;61;GUABRANCA;AL;11841573329;80592980588081;True;True
Daniel Davis;45;ALVARES;AM;80610637355;91637625761158;True;True
William Morales;22;SERRADONAVIO;AP;26217700379;39881898166918;True;True
Christina Simpson;67;ABARA;BA;83852685370;93064181937780;True;True
Kevin Wright;75;ABAIARA;CE;24326051442;68004443313214;True;True
Adam Cannon;67;Braslia;DF;97123605390;38051143111517;True;True
Jason Hall;58;AFONSOCLUDIO;ES;20821547348;12558696147768;True;True
Matthew Wagner;67;ABADIADEGOIS;GO;55234980170;58608836326776;True;True
Colleen Hall;41;AAILNDIA;MA;08946760915;38721671317231;True;True
Robert Smith;61;ABADIADOSDOURADOS;MG;87241892437;70885137114755;True;True
Ashley Nash;67;GUACLARA;MS;19486718750;87875762986740;True;True
Jennifer Sullivan;60;ACORIZAL;MT;09588951712;62350742993772;True;True
Daisy Herrera;37;ABAETETUBA;PA;49166470684;40849370899506;True;True
Joshua Garcia;85;GUABRANCA;PB;71461682045;91915626999105;True;True
William Joseph;49;ABREUELIMA;PE;32100992864;17806292816432;True;True
Jackie Ford;22;ACAU;PI;72634458401;24836512266932;True;True
Laura Wagner;55;ABATI;PR;17016662608;21142998414880;True;True
Justin Day;23;ANGRADOSREIS;RJ;65453295708;80358716562011;True;True
Chloe Lambert;76;ACARI;RN;17895378864;80378236559224;True;True
Gary Christensen;53;ALTAFLORESTADOESTE;RO;48442882456;37749502065175;True;True
Virginia Thomas;20;AMAJARI;RR;21988421578;38277737307879;True;True
Nicole Spence;33;ACEGU;RS;35001275768;39119095680306;True;True
Bryan Arellano;58;ABDONBATISTA;SC;73551845719;26593989986970;True;True
Thomas Thompson;34;AMPARODESOFRANCISCO;SE;95227612064;24497914052801;True;True
Tony Murphy;66;ADAMANTINA;SP;09163622211;32375015123710;True;True
Jamie Jones;23;ABREULNDIA;TO;10635967260;34835066619750;True;True
Robert Fisher MD;25;ACRELNDIA;AC;55176696975;94065124126208;True;True
Calvin Reed;54;GUABRANCA;AL;47291646367;39441010858801;True;True
Robert Miller;53;ALVARES;AM;68554430280;87947728765053;True;True
Kayla Phillips;89;SERRADONAVIO;AP;75058963779;01865847744559;True;True
Barbara Holmes;78;ABARA;BA;44670865366;58745957110163;True;True
Samantha Davis MD;85;ABAIARA;CE;57902279889;88129970763624;True;True
John Davis;26;Braslia;DF;92317078170;02732745199155;True;True
Larry Davis;80;AFONSOCLUDIO;ES;50732990270;55545407243846;True;True
Scott Cain;70;ABADIADEGOIS;GO;41784856878;44644314065652;True;True
Ashley Macias;76;AAILNDIA;MA;96871887318;12095491285169;True;True
Robert Fuller;87;ABADIADOSDOURADOS;MG;11624364250;81339061208252;True;True
Maria Howard;68;GUACLARA;MS;84699870384;52807316156100;True;True
Dustin Green;88;ACORIZAL;MT;67873185290;79071773310738;True;True
Colleen Thompson;21;ABAETETUBA;PA;34611438201;84460646065278;True;True
Joshua Ritter;69;GUABRANCA;PB;70967866359;31157373683315;True;True
Christian Flores;19;ABREUELIMA;PE;28859771595;82758229347260;True;True
Stacy Combs;69;ACAU;PI;70907181155;29666436255510;True;True
Michael Henry;25;ABATI;PR;68047931962;34785965444383;True;True
Kevin Montgomery;73;ANGRADOSREIS;RJ;98440335784;84952387553779;True;True
Ryan Ramsey;80;ACARI;RN;36534849607;76128729949290;True;True
Christine Newman;63;ALTAFLORESTADOESTE;RO;53703274832;40405077461643;True;True
Laura Brown;76;AMAJARI;RR;83455142001;47884741955898;True;True
Sarah Johnson;66;ACEGU;RS;86212279594;26025023972987;True;True
Amy Bailey;66;ABDONBATISTA;SC;02182723676;42567072630932;True;True
Cody Campbell;32;AMPARODESOFRANCISCO;SE;65579559933;85555799635033;True;True
Evan Ellis;86;ADAMANTINA;SP;36999750963;35247799534404;True;True
Regina Graves;58;ABREULNDIA;TO;29990161402;47588637706635;True;True
Michelle Hernandez;88;ACRELNDIA;AC;67677015565;84379015162186;True;True
Andrew Cortez;84;GUABRANCA;AL;62679509056;34228493852644;True;True
Steven Allen;24;ALVARES;AM;17924883606;53717404990124;True;True
Julia Maxwell;24;SERRADONAVIO;AP;27717301547;73699236305161;True;True
Michael Lopez;76;ABARA;BA;72760541100;94087887983756;True;True
Charles Meyer;64;ABAIARA;CE;96927586725;25739458309539;True;True
Chelsea Vega DVM;64;Braslia;DF;96499533459;05881110531595;True;True
Jacob Bowen;82;AFONSOCLUDIO;ES;33348541590;41649908110124;True;True
Douglas Preston;66;ABADIADEGOIS;GO;90402198182;38458603591471;True;True
Bradley Mckinney;82;AAILNDIA;MA;95427295534;28616146003524;True;True
Amy Davis;49;ABADIADOSDOURADOS;MG;72647746273;23062316861443;True;True
Timothy Chavez;57;GUACLARA;MS;11540514048;49459030052974;True;True
Kathryn Hicks;21;ACORIZAL;MT;93685688120;71806989739950;True;True
Larry Sanchez;86;ABAETETUBA;PA;05638091599;61781985429805;True;True
Daniel Travis;53;GUABRANCA;PB;86696077359;89355236984146;True;True
Susan Hayes;47;ABREUELIMA;PE;14326652195;65382033838362;True;True
Sherri Duncan;54;ACAU;PI;18911447820;04947412787437;True;True
Robin Carr;79;ABATI;PR;45975850525;07403882183590;True;True
Lisa Warren;60;ANGRADOSREIS;RJ;42626649961;37956834308201;True;True
Thomas Garcia;44;ACARI;RN;92067671006;09651175990010;True;True
Travis Morton;78;ALTAFLORESTADOESTE;RO;40381383300;09722313523813;True;True
Carl Sparks;51;AMAJARI;RR;79800399712;00540190518317;True;True
Glenn Costa;40;ACEGU;RS;33363061404;48108930271894;True;True
Bryce Wolfe;83;ABDONBATISTA;SC;00370098773;41528356172398;True;True
Martha Suarez;33;AMPARODESOFRANCISCO;SE;75501847396;18954966076294;True;True
